Referencia;Sheet;Tipo;Valor
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;1Q11;626,7361
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;1Q11;-271,2509
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;1Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;1Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;1Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;1Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;1Q11;208,2589
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;1Q11;208,2589
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;1Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;1Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;1Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;1Q11;5601,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;1Q11;71535,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;1Q11;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;1Q11;0,2975
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;1Q11;0,0000
Principais Indicadores - ROAA;InputSite_Highlights;1Q11;0,0115
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;1Q11;0,0000
Principais Indicadores - Índice de eficiência;InputSite_Highlights;1Q11;0,4328
Principais Indicadores - Índice de remuneração;InputSite_Highlights;1Q11;0,2448
Principais Indicadores - VP por Unit;InputSite_Highlights;1Q11;7,0012
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;1Q11;96,8455
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;1Q11;0,0000
Principais Indicadores - Funcionários;InputSite_Highlights;1Q11;1190,0000
Principais Indicadores - Sócios e Associados;InputSite_Highlights;1Q11;139,0000
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;1Q11;0,1788
Ativos - Ativos ilíquidos;InputSite_Highlights;1Q11;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;1Q11;-
Ativos - Outros valores e bens;InputSite_Highlights;1Q11;-
Ativos - Carteira de crédito;InputSite_Highlights;1Q11;-
Ativos - Ativos financeiros;InputSite_Highlights;1Q11;-
Ativos - Liquidação pendente;InputSite_Highlights;1Q11;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;1Q11;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;1Q11;-
Ativos - Total Ativos;InputSite_Highlights;1Q11;-
Passivos - Patrimônio líquido;InputSite_Highlights;1Q11;-
Passivos - Perpetuo;InputSite_Highlights;1Q11;-
Passivos - Banco Pan Passivos;InputSite_Highlights;1Q11;-
Passivos - Outras obrigações;InputSite_Highlights;1Q11;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;1Q11;-
Passivos - Depósitos à vista;InputSite_Highlights;1Q11;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;1Q11;-
Passivos - Liquidação pendente;InputSite_Highlights;1Q11;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;1Q11;-
Passivos - Total Passivos;InputSite_Highlights;1Q11;-
