Referencia;Sheet;1Q11;2Q11;3Q11;4Q11;2011;1Q12;2Q12;3Q12;4Q12;2012;1Q13;2Q13;3Q13;4Q13;2013;1Q14;2Q14;3Q14;4Q14;2014;1Q15;2Q15;3Q15;4Q15;2015;1Q16;2Q16;3Q16;4Q16;2016;1Q17;2Q17;3Q17;4Q17;2017;1Q18;2Q18;3Q18;4Q18;2018;1Q19;2Q19;3Q19;4Q19;2019;1Q20;2Q20;3Q20;4Q20;2020;1Q21;2Q21;3Q21;4Q21;2021;1Q22;2Q22;3Q22;4Q22;2022;1Q23;2Q23;3Q23
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;626,74;613,72;624,53;782,09;2647,07;1239,51;1335,79;1325,18;1719,30;5619,79;1565,30;1111,44;1283,77;1935,47;5895,98;1820,70;1613,99;1696,86;1420,80;6552,35;2043,84;2314,33;2782,41;3940,34;11080,92;3545,08;2650,27;1580,04;1021,74;8797,12;1661,30;851,02;1644,97;1370,17;5527,46;1310,15;1238,33;1255,09;1548,99;5352,56;1482,01;2181,39;2183,79;2486,17;8333,35;1517,63;2482,48;2478,07;2825,36;9303,54;2795,82;3770,97;3845,32;3488,52;13900,63;4351,39;4512,79;4756,43;3626,44;17247,06;4802,84;5442,75;5659,84
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;-271,25;-267,09;-307,78;-380,54;-1226,66;-531,87;-730,59;-616,61;-867,33;-2746,40;-655,36;-502,17;-497,27;-873,42;-2528,22;-619,17;-755,77;-698,84;-656,17;-2729,95;-783,24;-1012,11;-1366,84;-1891,60;-5053,79;-1809,48;-1570,51;-858,65;-526,93;-4765,57;-702,41;-497,65;-705,23;-746,04;-2651,33;-571,61;-583,66;-595,71;-808,61;-2559,58;-641,38;-881,87;-857,09;-981,70;-3362,05;-650,45;-1036,45;-1084,09;-1031,32;-3802,31;-1198,61;-1543,76;-1637,15;-1339,83;-5719,35;-1910,99;-1943,12;-2020,05;-1881,59;-7755,75;-2122,18;-2386,01;-2367,72
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97,28;63,86;64,85;53,78;279,77;31,51;35,66;39,70;39,70;146,57;36,85;38,02;39,41;11,10;125,38;11,92;15,36;10,54;26,55;64,36;30,57;65,13;90,72;66,91;253,33;213,29;196,53;207,81;221,17;838,79;232,82;245,54;203,14
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,50;61,08;65,00;75,41;237,99;51,70;48,94;20,00;15,60;136,24;16,00;32,70;51,81;18,00;118,51;17,30;-10,80;6,00;4,20;16,70;5,24;6,54;0,00;0,00;11,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,20;48,13;8,00;0,00;82,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;-;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-37,43;-63,17;119,90;-45,10;-25,79;-23,27;-22,02;-46,40;102,98;11,29;-6,40;-13,08;-20,72;-198,70;-238,90;-7,79;4,86;-2,70;-1,89;-7,52;-14,88;-31,10;-39,62;-28,52;-114,11;-94,13;-88,44;-93,51;-98,08;-374,16;-103,42;-111,84;-91,41
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;208,26;237,52;154,19;877,00;1476,97;423,50;521,89;433,51;682,32;2061,22;490,84;758,47;616,92;803,51;2669,74;936,74;871,13;803,77;757,60;3369,24;937,27;1294,20;1848,05;1543,97;5623,50;1008,51;1003,21;717,07;679,79;3408,58;720,07;502,56;500,83;660,38;2383,84;600,36;622,48;585,87;552,45;2361,16;674,97;971,62;1002,56;1179,16;3828,31;767,92;977,35;1001,88;1229,21;3976,37;1176,50;1678,34;1743,13;1744,08;6342,04;1942,58;2067,23;2187,73;1644,29;7841,84;2133,22;2441,25;2622,55
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;208,26;237,52;154,19;877,00;1476,97;423,50;521,89;433,51;682,32;2061,22;490,84;758,47;616,92;803,51;2669,74;936,74;871,13;803,77;757,60;3369,24;937,27;1294,20;1848,05;1543,97;5623,50;1008,51;1003,21;717,07;679,79;3408,58;842,61;603,21;758,59;744,47;2948,88;660,30;685,05;685,17;710,73;2741,26;721,42;1029,26;1073,06;1009,56;3833,30;789,36;986,77;1015,72;1258,07;4049,92;1197,43;1718,91;1794,23;1782,47;6493,04;2061,74;2175,32;2302,02;1767,39;8306,46;2262,62;2574,95;2734,28
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;0,00;0,30;0,19;1,10;1,85;0,53;0,59;0,49;0,75;2,28;0,54;0,84;0,68;0,89;2,95;1,04;0,96;0,89;0,84;3,72;1,04;1,43;1,97;1,72;6,26;0,91;0,90;0,77;0,74;3,70;0,92;0,67;0,85;0,84;3,32;0,74;0,78;0,78;0,81;3,14;0,83;1,18;1,23;1,16;4,40;0,23;0,27;0,28;0,35;1,12;0,32;0,45;0,47;0,46;1,69;0,54;0,57;0,60;0,46;2,17;0,59;0,68;0,72
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;-;-;-;-;692,00;0,00;181,61;0,00;192,29;373,90;0,00;60,47;0,00;132,19;192,66;0,00;146,64;0,00;106,13;252,77;0,00;47,32;0,00;0,00;47,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
